# DPGA full geometry file (creation date: 2016-04-07 09:43:09.97714454 +0200 CEST)
# iChannelAbs240 X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4 X5 Y5 Z5 X6 Y6 Z6 X7 Y7 Z7
33 -143.3223284006077 41.777178959670934 35.75 -143.3223284006077 41.777178959670934 22.75 -138.3474437798615 53.78761288231766 22.75 -138.3474437798615 53.78761288231766 35.75 -157.180521388277 47.51743044514728 35.75 -157.180521388277 47.51743044514728 22.75 -152.2056367675308 59.52786436779401 22.75 -152.2056367675308 59.52786436779401 35.75
34 -135.86000146948842 59.79282984364102 55.25 -135.86000146948842 59.79282984364102 42.25 -130.88511684874223 71.80326376628776 42.25 -130.88511684874223 71.80326376628776 55.25 -149.71819445715772 65.53308132911737 55.25 -149.71819445715772 65.53308132911737 42.25 -144.74330983641153 77.5435152517641 42.25 -144.74330983641153 77.5435152517641 55.25
35 -135.86000146948842 59.79282984364102 35.75 -135.86000146948842 59.79282984364102 22.75 -130.88511684874223 71.80326376628776 22.75 -130.88511684874223 71.80326376628776 35.75 -149.71819445715772 65.53308132911737 35.75 -149.71819445715772 65.53308132911737 22.75 -144.74330983641153 77.5435152517641 22.75 -144.74330983641153 77.5435152517641 35.75
36 -143.3223284006077 41.777178959670934 94.25 -143.3223284006077 41.777178959670934 81.25 -138.3474437798615 53.78761288231766 81.25 -138.3474437798615 53.78761288231766 94.25 -157.180521388277 47.51743044514728 94.25 -157.180521388277 47.51743044514728 81.25 -152.2056367675308 59.52786436779401 81.25 -152.2056367675308 59.52786436779401 94.25
37 -143.3223284006077 41.777178959670934 74.75 -143.3223284006077 41.777178959670934 61.75 -138.3474437798615 53.78761288231766 61.75 -138.3474437798615 53.78761288231766 74.75 -157.180521388277 47.51743044514728 74.75 -157.180521388277 47.51743044514728 61.75 -152.2056367675308 59.52786436779401 61.75 -152.2056367675308 59.52786436779401 74.75
38 -135.86000146948842 59.79282984364102 94.25 -135.86000146948842 59.79282984364102 81.25 -130.88511684874223 71.80326376628776 81.25 -130.88511684874223 71.80326376628776 94.25 -149.71819445715772 65.53308132911737 94.25 -149.71819445715772 65.53308132911737 81.25 -144.74330983641153 77.5435152517641 81.25 -144.74330983641153 77.5435152517641 94.25
39 -135.86000146948842 59.79282984364102 74.75 -135.86000146948842 59.79282984364102 61.75 -130.88511684874223 71.80326376628776 61.75 -130.88511684874223 71.80326376628776 74.75 -149.71819445715772 65.53308132911737 74.75 -149.71819445715772 65.53308132911737 61.75 -144.74330983641153 77.5435152517641 61.75 -144.74330983641153 77.5435152517641 74.75
40 -149.2514680514493 3.259107928131228 -68.25 -149.2514680514493 3.259107928131228 -81.25 -147.5546275525886 16.147891125990764 -81.25 -147.5546275525886 16.147891125990764 -68.25 -164.12314097205646 5.217000811432001 -68.25 -164.12314097205646 5.217000811432001 -81.25 -162.42630047319577 18.105784009291536 -81.25 -162.42630047319577 18.105784009291536 -68.25
41 -149.2514680514493 3.259107928131228 -87.75 -149.2514680514493 3.259107928131228 -100.75 -147.5546275525886 16.147891125990764 -100.75 -147.5546275525886 16.147891125990764 -87.75 -164.12314097205646 5.217000811432001 -87.75 -164.12314097205646 5.217000811432001 -100.75 -162.42630047319577 18.105784009291536 -100.75 -162.42630047319577 18.105784009291536 -87.75
42 -146.7062073031583 22.59228272492053 -68.25 -146.7062073031583 22.59228272492053 -81.25 -145.0093668042976 35.48106592278007 -81.25 -145.0093668042976 35.48106592278007 -68.25 -161.57788022376545 24.550175608221302 -68.25 -161.57788022376545 24.550175608221302 -81.25 -159.88103972490475 37.43895880608084 -81.25 -159.88103972490475 37.43895880608084 -68.25
43 -146.7062073031583 22.59228272492053 -87.75 -146.7062073031583 22.59228272492053 -100.75 -145.0093668042976 35.48106592278007 -100.75 -145.0093668042976 35.48106592278007 -87.75 -161.57788022376545 24.550175608221302 -87.75 -161.57788022376545 24.550175608221302 -100.75 -159.88103972490475 37.43895880608084 -100.75 -159.88103972490475 37.43895880608084 -87.75
44 -149.2514680514493 3.259107928131228 -29.25 -149.2514680514493 3.259107928131228 -42.25 -147.5546275525886 16.147891125990764 -42.25 -147.5546275525886 16.147891125990764 -29.25 -164.12314097205646 5.217000811432001 -29.25 -164.12314097205646 5.217000811432001 -42.25 -162.42630047319577 18.105784009291536 -42.25 -162.42630047319577 18.105784009291536 -29.25
45 -149.2514680514493 3.259107928131228 -48.75 -149.2514680514493 3.259107928131228 -61.75 -147.5546275525886 16.147891125990764 -61.75 -147.5546275525886 16.147891125990764 -48.75 -164.12314097205646 5.217000811432001 -48.75 -164.12314097205646 5.217000811432001 -61.75 -162.42630047319577 18.105784009291536 -61.75 -162.42630047319577 18.105784009291536 -48.75
46 -146.7062073031583 22.59228272492053 -29.25 -146.7062073031583 22.59228272492053 -42.25 -145.0093668042976 35.48106592278007 -42.25 -145.0093668042976 35.48106592278007 -29.25 -161.57788022376545 24.550175608221302 -29.25 -161.57788022376545 24.550175608221302 -42.25 -159.88103972490475 37.43895880608084 -42.25 -159.88103972490475 37.43895880608084 -29.25
47 -146.7062073031583 22.59228272492053 -48.75 -146.7062073031583 22.59228272492053 -61.75 -145.0093668042976 35.48106592278007 -61.75 -145.0093668042976 35.48106592278007 -48.75 -161.57788022376545 24.550175608221302 -48.75 -161.57788022376545 24.550175608221302 -61.75 -159.88103972490475 37.43895880608084 -61.75 -159.88103972490475 37.43895880608084 -48.75
48 -149.2514680514493 3.259107928131228 9.75 -149.2514680514493 3.259107928131228 -3.25 -147.5546275525886 16.147891125990764 -3.25 -147.5546275525886 16.147891125990764 9.75 -164.12314097205646 5.217000811432001 9.75 -164.12314097205646 5.217000811432001 -3.25 -162.42630047319577 18.105784009291536 -3.25 -162.42630047319577 18.105784009291536 9.75
49 -149.2514680514493 3.259107928131228 -9.75 -149.2514680514493 3.259107928131228 -22.75 -147.5546275525886 16.147891125990764 -22.75 -147.5546275525886 16.147891125990764 -9.75 -164.12314097205646 5.217000811432001 -9.75 -164.12314097205646 5.217000811432001 -22.75 -162.42630047319577 18.105784009291536 -22.75 -162.42630047319577 18.105784009291536 -9.75
50 -146.7062073031583 22.59228272492053 9.75 -146.7062073031583 22.59228272492053 -3.25 -145.0093668042976 35.48106592278007 -3.25 -145.0093668042976 35.48106592278007 9.75 -161.57788022376545 24.550175608221302 9.75 -161.57788022376545 24.550175608221302 -3.25 -159.88103972490475 37.43895880608084 -3.25 -159.88103972490475 37.43895880608084 9.75
51 -146.7062073031583 22.59228272492053 -9.75 -146.7062073031583 22.59228272492053 -22.75 -145.0093668042976 35.48106592278007 -22.75 -145.0093668042976 35.48106592278007 -9.75 -161.57788022376545 24.550175608221302 -9.75 -161.57788022376545 24.550175608221302 -22.75 -159.88103972490475 37.43895880608084 -22.75 -159.88103972490475 37.43895880608084 -9.75
52 -149.2514680514493 3.259107928131228 48.75 -149.2514680514493 3.259107928131228 35.75 -147.5546275525886 16.147891125990764 35.75 -147.5546275525886 16.147891125990764 48.75 -164.12314097205646 5.217000811432001 48.75 -164.12314097205646 5.217000811432001 35.75 -162.42630047319577 18.105784009291536 35.75 -162.42630047319577 18.105784009291536 48.75
53 -149.2514680514493 3.259107928131228 29.25 -149.2514680514493 3.259107928131228 16.25 -147.5546275525886 16.147891125990764 16.25 -147.5546275525886 16.147891125990764 29.25 -164.12314097205646 5.217000811432001 29.25 -164.12314097205646 5.217000811432001 16.25 -162.42630047319577 18.105784009291536 16.25 -162.42630047319577 18.105784009291536 29.25
54 -146.7062073031583 22.59228272492053 48.75 -146.7062073031583 22.59228272492053 35.75 -145.0093668042976 35.48106592278007 35.75 -145.0093668042976 35.48106592278007 48.75 -161.57788022376545 24.550175608221302 48.75 -161.57788022376545 24.550175608221302 35.75 -159.88103972490475 37.43895880608084 35.75 -159.88103972490475 37.43895880608084 48.75
55 -146.7062073031583 22.59228272492053 29.25 -146.7062073031583 22.59228272492053 16.25 -145.0093668042976 35.48106592278007 16.25 -145.0093668042976 35.48106592278007 29.25 -161.57788022376545 24.550175608221302 29.25 -161.57788022376545 24.550175608221302 16.25 -159.88103972490475 37.43895880608084 16.25 -159.88103972490475 37.43895880608084 29.25
56 -149.2514680514493 3.259107928131228 87.75 -149.2514680514493 3.259107928131228 74.75 -147.5546275525886 16.147891125990764 74.75 -147.5546275525886 16.147891125990764 87.75 -164.12314097205646 5.217000811432001 87.75 -164.12314097205646 5.217000811432001 74.75 -162.42630047319577 18.105784009291536 74.75 -162.42630047319577 18.105784009291536 87.75
57 -149.2514680514493 3.259107928131228 68.25 -149.2514680514493 3.259107928131228 55.25 -147.5546275525886 16.147891125990764 55.25 -147.5546275525886 16.147891125990764 68.25 -164.12314097205646 5.217000811432001 68.25 -164.12314097205646 5.217000811432001 55.25 -162.42630047319577 18.105784009291536 55.25 -162.42630047319577 18.105784009291536 68.25
58 -146.7062073031583 22.59228272492053 87.75 -146.7062073031583 22.59228272492053 74.75 -145.0093668042976 35.48106592278007 74.75 -145.0093668042976 35.48106592278007 87.75 -161.57788022376545 24.550175608221302 87.75 -161.57788022376545 24.550175608221302 74.75 -159.88103972490475 37.43895880608084 74.75 -159.88103972490475 37.43895880608084 87.75
59 -146.7062073031583 22.59228272492053 68.25 -146.7062073031583 22.59228272492053 55.25 -145.0093668042976 35.48106592278007 55.25 -145.0093668042976 35.48106592278007 68.25 -161.57788022376545 24.550175608221302 68.25 -161.57788022376545 24.550175608221302 55.25 -159.88103972490475 37.43895880608084 55.25 -159.88103972490475 37.43895880608084 68.25
